"CCAA.Codigo.ISO","Fecha","Casos","Hospitalizados","UCI","Fallecidos","Recuperados"
"RI",2020-03-21,654,134,17,18,18
"AN",2020-03-22,1961,865,77,58,50
"AR",2020-03-22,638,298,52,32,30
"AS",2020-03-22,594,194,22,12,21
"IB",2020-03-22,400,87,27,10,18
"CN",2020-03-22,481,172,32,11,7
"CB",2020-03-22,347,157,14,6,11
"CM",2020-03-22,2078,1547,142,145,51
"CL",2020-03-22,2055,860,120,102,117
"CT",2020-03-22,5925,1681,551,245,644
"CE",2020-03-22,6,0,0,0,0
"VC",2020-03-22,1901,702,138,94,36
"EX",2020-03-22,493,131,13,18,6
"GA",2020-03-22,1208,270,47,18,19
"MD",2020-03-22,10575,9561,942,1263,2063
"ML",2020-03-22,28,12,1,0,0
"MC",2020-03-22,345,80,23,2,1
"NC",2020-03-22,886,339,40,24,7
"PV",2020-03-22,2421,1252,92,120,283
"RI",2020-03-22,747,166,22,22,18
"AN",2020-03-23,2471,1132,102,87,66
"AR",2020-03-23,758,384,66,37,3
"AS",2020-03-23,662,224,23,22,30
"IB",2020-03-23,478,127,35,10,19
"CN",2020-03-23,557,207,36,16,8
"CB",2020-03-23,425,200,16,9,12
"CM",2020-03-23,2465,1826,182,216,53
"CL",2020-03-23,2460,1057,137,124,140
"CT",2020-03-23,7864,3599,551,282,728
"CE",2020-03-23,6,0,0,0,0
"VC",2020-03-23,2167,917,161,115,37
"EX",2020-03-23,636,161,20,26,8
"GA",2020-03-23,1415,338,55,20,19
"MD",2020-03-23,12352,10443,1050,1535,2291
"ML",2020-03-23,28,12,1,0,0
"MC",2020-03-23,385,99,26,3,1
"NC",2020-03-23,1014,405,45,31,11
"PV",2020-03-23,2728,1425,106,133,344
"RI",2020-03-23,802,206,24,30,24
"AN",2020-03-24,3010,1433,116,113,71
"AR",2020-03-24,907,459,75,40,4
"AS",2020-03-24,779,263,29,25,35
"IB",2020-03-24,562,164,40,13,28
"CN",2020-03-24,657,235,43,21,15
"CB",2020-03-24,510,241,18,14,12
"CM",2020-03-24,2780,2162,210,263,71
"CL",2020-03-24,2940,1244,170,165,213
"CT",2020-03-24,9937,5434,781,516,1274
"CE",2020-03-24,9,2,1,0,0
"VC",2020-03-24,2616,1071,198,143,44
"EX",2020-03-24,742,209,28,39,8
"GA",2020-03-24,1653,412,69,27,25
"MD",2020-03-24,14597,11153,1150,1825,3031
"ML",2020-03-24,38,14,2,0,0
"MC",2020-03-24,477,127,33,5,4
"NC",2020-03-24,1197,506,51,33,23
"PV",2020-03-24,3271,1577,119,155,466
"RI",2020-03-24,928,254,33,37,43
"AN",2020-03-25,3406,1626,134,134,77
"AR",2020-03-25,1116,562,93,48,4
"AS",2020-03-25,841,300,34,27,40
"IB",2020-03-25,660,205,43,17,39
"CN",2020-03-25,784,279,45,24,18
"CB",2020-03-25,671,300,26,17,14
"CM",2020-03-25,3383,2162,243,316,95
"CL",2020-03-25,3488,1515,202,206,308
"CT",2020-03-25,11592,7439,1021,672,1697
"CE",2020-03-25,10,2,2,0,0
"VC",2020-03-25,3200,1278,230,167,57
"EX",2020-03-25,969,241,34,58,24
"GA",2020-03-25,1915,503,86,32,47
"MD",2020-03-25,17166,12440,1221,2090,3882
"ML",2020-03-25,39,16,2,1,0
"MC",2020-03-25,596,172,36,8,9
"NC",2020-03-25,1411,649,54,49,35
"PV",2020-03-25,3946,1907,137,180,621
"RI",2020-03-25,995,316,36,43,48
"AN",2020-03-26,3793,1843,148,144,92
"AR",2020-03-26,1338,693,114,58,8
"AS",2020-03-26,900,339,47,29,52
"IB",2020-03-26,755,237,46,22,67
"CN",2020-03-26,878,328,61,27,20
"CB",2020-03-26,810,355,29,21,19
"CM",2020-03-26,3934,2707,273,367,153
"CL",2020-03-26,4132,1791,228,252,423
"CT",2020-03-26,12940,8545,1187,880,2348
"CE",2020-03-26,17,2,2,0,0
"VC",2020-03-26,3532,1422,252,198,73
"EX",2020-03-26,1231,277,41,69,33
"GA",2020-03-26,2322,557,98,43,67
"MD",2020-03-26,19243,13580,1312,2412,5044
"ML",2020-03-26,42,18,2,1,0
"MC",2020-03-26,714,209,53,15,12
"NC",2020-03-26,1641,732,75,58,70
"PV",2020-03-26,4601,2270,154,207,814
"RI",2020-03-26,1236,388,43,55,62
"AN",2020-03-27,4277,2106,172,175,139
"AR",2020-03-27,1592,835,124,93,8
"AS",2020-03-27,1004,408,50,33,65
"IB",2020-03-27,862,283,59,26,80
"CN",2020-03-27,1025,377,68,36,25
"CB",2020-03-27,937,406,37,22,21
"CM",2020-03-27,4512,2977,289,448,197
"CL",2020-03-27,4791,2063,249,321,585
"CT",2020-03-27,14263,9900,1324,1070,3106
"CE",2020-03-27,17,2,2,1,0
"VC",2020-03-27,4034,1694,282,234,92
"EX",2020-03-27,1394,312,40,88,49
"GA",2020-03-27,2772,906,112,47,95
"MD",2020-03-27,21520,14211,1404,2757,6326
"ML",2020-03-27,45,22,2,1,0
"MC",2020-03-27,802,231,58,17,12
"NC",2020-03-27,1829,827,84,70,98
"PV",2020-03-27,5136,2612,176,241,1023
"RI",2020-03-27,1436,458,43,65,364
"AN",2020-03-28,4682,2294,201,207,148
"AR",2020-03-28,1858,835,124,104,8
"AS",2020-03-28,1088,466,57,41,76
"IB",2020-03-28,958,345,71,29,82
"CN",2020-03-28,1125,425,78,39,30
"CB",2020-03-28,1023,449,40,26,24
"CM",2020-03-28,5246,3018,299,539,236
"CL",2020-03-28,5414,2408,278,380,752
"CT",2020-03-28,15026,10688,1391,1226,3455
"CE",2020-03-28,21,2,2,1,0
"VC",2020-03-28,4784,1874,309,267,161
"EX",2020-03-28,1456,313,41,100,51
"GA",2020-03-28,3139,1043,123,60,153
"MD",2020-03-28,22677,14454,1429,3082,7491
"ML",2020-03-28,48,24,2,1,0
"MC",2020-03-28,872,260,58,20,16
"NC",2020-03-28,2011,896,90,84,125
"PV",2020-03-28,5740,3106,271,265,1503
"RI",2020-03-28,1629,497,43,68,397
"AN",2020-03-29,5405,2671,216,236,155
"AR",2020-03-29,2078,1094,156,106,174
"AS",2020-03-29,1158,479,60,49,78
"IB",2020-03-29,1000,353,80,37,100
"CN",2020-03-29,1204,444,84,40,32
"CB",2020-03-29,1100,481,46,27,24
"CM",2020-03-29,5858,3134,302,622,252
"CL",2020-03-29,5801,2540,307,442,871
"CT",2020-03-29,16157,11769,1512,1410,4125
"CE",2020-03-29,25,2,2,1,0
"VC",2020-03-29,5110,2042,336,310,185
"EX",2020-03-29,1560,353,43,106,60
"GA",2020-03-29,3723,1147,134,66,168
"MD",2020-03-29,24090,14917,1460,3392,8301
"ML",2020-03-29,51,27,3,1,0
"MC",2020-03-29,939,265,58,25,17
"NC",2020-03-29,2146,955,96,102,161
"PV",2020-03-29,6057,3427,293,297,1646
"RI",2020-03-29,1733,517,43,71,431
"AN",2020-03-30,5818,2867,235,248,160
"AR",2020-03-30,2272,1176,165,138,204
"AS",2020-03-30,1236,529,65,55,90
"IB",2020-03-30,1069,399,85,42,111
"CN",2020-03-30,1262,483,94,55,57
"CB",2020-03-30,1171,522,50,37,35
"CM",2020-03-30,6424,3225,344,708,296
"CL",2020-03-30,6211,2601,325,516,1028
"CT",2020-03-30,18773,12974,1652,1672,4966
"CE",2020-03-30,34,3,3,1,0
"VC",2020-03-30,5508,2189,356,339,200
"EX",2020-03-30,1628,371,51,133,91
"GA",2020-03-30,4039,1250,149,84,187
"MD",2020-03-30,27509,15140,1514,3603,9330
"ML",2020-03-30,54,27,3,1,0
"MC",2020-03-30,974,283,59,34,20
"NC",2020-03-30,2305,1035,99,113,192
"PV",2020-03-30,6320,3594,307,325,1796
"RI",2020-03-30,1810,575,51,85,496
"AN",2020-03-31,6392,3147,260,308,182
"AR",2020-03-31,2491,1234,168,169,257
"AS",2020-03-31,1322,590,76,63,109
"IB",2020-03-31,1131,468,95,46,170
"CN",2020-03-31,1380,532,110,62,77
"CB",2020-03-31,1213,543,54,54,43
"CM",2020-03-31,7047,3230,353,774,397
"CL",2020-03-31,6847,2692,345,585,1259
"CT",2020-03-31,19991,13969,1769,1849,5701
"CE",2020-03-31,51,6,3,1,0
"VC",2020-03-31,5922,2189,365,395,240
"EX",2020-03-31,1679,372,58,152,113
"GA",2020-03-31,4432,1338,158,103,259
"MD",2020-03-31,29840,15227,1514,3865,10827
"ML",2020-03-31,62,32,3,1,0
"MC",2020-03-31,1041,304,59,37,43
"NC",2020-03-31,2497,1120,104,130,236
"PV",2020-03-31,6838,3806,324,369,2165
"RI",2020-03-31,1960,619,54,90,569
"AN",2020-04-01,6972,3444,280,343,228
"AR",2020-04-01,2700,1320,178,200,320
"AS",2020-04-01,1384,640,79,69,135
"IB",2020-04-01,1204,517,105,58,239
"CN",2020-04-01,1444,566,113,68,94
"CB",2020-04-01,1268,567,57,60,60
"CM",2020-04-01,7682,3230,355,854,494
"CL",2020-04-01,7355,2709,353,641,1498
"CT",2020-04-01,21804,15489,1855,2093,6917
"CE",2020-04-01,55,7,3,1,0
"VC",2020-04-01,6308,2189,379,443,432
"EX",2020-04-01,1837,412,62,181,139
"GA",2020-04-01,4842,1447,165,120,333
"MD",2020-04-01,32155,15227,1528,4175,12400
"ML",2020-04-01,62,32,3,1,0
"MC",2020-04-01,1084,389,68,42,45
"NC",2020-04-01,2682,1181,108,141,278
"PV",2020-04-01,7317,4087,344,412,2490
"RI",2020-04-01,2083,660,57,101,641
"AN",2020-04-02,7374,3673,338,376,258
"AR",2020-04-02,2889,1431,180,224,378
"AS",2020-04-02,1433,702,86,70,154
"IB",2020-04-02,1257,587,112,69,375
"CN",2020-04-02,1490,605,120,73,102
"CB",2020-04-02,1321,592,59,64,74
"CM",2020-04-02,8523,3168,355,916,579
"CL",2020-04-02,7875,2711,355,723,1759
"CT",2020-04-02,23460,17257,2053,2335,7849
"CE",2020-04-02,62,8,3,1,2
"VC",2020-04-02,6624,2064,386,511,592
"EX",2020-04-02,1893,415,64,200,164
"GA",2020-04-02,5219,1630,178,138,435
"MD",2020-04-02,34188,15050,1506,4483,13850
"ML",2020-04-02,70,34,3,2,4
"MC",2020-04-02,1145,405,72,46,90
"NC",2020-04-02,2836,1284,119,151,294
"PV",2020-04-02,7827,4283,363,444,2809
"RI",2020-04-02,2224,738,64,109,745
"AN",2020-04-03,7869,3896,364,426,463
"AR",2020-04-03,3078,1505,190,251,440
"AS",2020-04-03,1522,766,87,76,190
"IB",2020-04-03,1271,634,114,71,422
"CN",2020-04-03,1564,632,128,78,123
"CB",2020-04-03,1384,619,60,68,99
"CM",2020-04-03,9324,3133,360,989,657
"CL",2020-04-03,8332,2664,348,786,2021
"CT",2020-04-03,24734,17678,2108,2508,8635
"CE",2020-04-03,73,8,4,1,2
"VC",2020-04-03,6901,1977,386,571,695
"EX",2020-04-03,1979,453,64,208,205
"GA",2020-04-03,5625,1767,178,159,531
"MD",2020-04-03,36249,14741,1498,4723,15362
"ML",2020-04-03,79,37,3,2,9
"MC",2020-04-03,1188,434,79,51,113
"NC",2020-04-03,2972,1341,120,171,311
"PV",2020-04-03,8187,4522,377,477,3098
"RI",2020-04-03,2405,805,64,128,843
"AN",2020-04-04,8301,4107,474,470,665
"AR",2020-04-04,3232,1588,233,270,537
"AS",2020-04-04,1605,808,90,80,216
"IB",2020-04-04,1293,664,120,75,461
"CN",2020-04-04,1622,644,129,80,137
"CB",2020-04-04,1441,639,62,68,113
"CM",2020-04-04,10031,2950,357,1055,1149
"CL",2020-04-04,8749,2574,351,847,2331
"CT",2020-04-04,26032,18656,2249,2637,9528
"CE",2020-04-04,83,9,4,2,2
"VC",2020-04-04,7184,1901,381,613,812
"EX",2020-04-04,2047,417,66,218,215
"GA",2020-04-04,5944,1831,170,174,587
"MD",2020-04-04,37584,14551,1499,4941,16543
"ML",2020-04-04,83,38,3,2,11
"MC",2020-04-04,1235,447,80,59,130
"NC",2020-04-04,3073,1399,123,178,334
"PV",2020-04-04,8628,4666,404,515,3405
"RI",2020-04-04,2592,855,66,134,904
"AN",2020-04-05,8581,4227,489,491,798
"AR",2020-04-05,3347,1637,237,284,565
"AS",2020-04-05,1646,846,90,86,222
"IB",2020-04-05,1320,683,121,81,531
"CN",2020-04-05,1649,651,133,85,157
"CB",2020-04-05,1483,658,65,77,118
"CM",2020-04-05,10602,2901,354,1132,1259
"CL",2020-04-05,9116,2508,348,919,2533
"CT",2020-04-05,26824,19143,2276,2760,10088
"CE",2020-04-05,83,9,4,3,2
"VC",2020-04-05,7334,1909,384,637,930
"EX",2020-04-05,2068,453,66,228,223
"GA",2020-04-05,6151,1916,170,190,610
"MD",2020-04-05,38723,14501,1510,5136,17322
"ML",2020-04-05,86,38,3,2,11
"MC",2020-04-05,1259,468,81,68,156
"NC",2020-04-05,3231,1432,124,187,380
"PV",2020-04-05,8810,4794,410,548,3568
"RI",2020-04-05,2719,888,66,141,964
"AN",2020-04-06,8767,4335,499,528,900
"AR",2020-04-06,3449,1663,247,312,578
"AS",2020-04-06,1679,889,91,96,244
"IB",2020-04-06,1369,705,124,84,537
"CN",2020-04-06,1725,689,137,89,186
"CB",2020-04-06,1501,677,66,85,129
"CM",2020-04-06,11077,2908,360,1177,1353
"CL",2020-04-06,9581,5180,346,982,2711
"CT",2020-04-06,28323,19745,2391,2908,10738
"CE",2020-04-06,83,9,4,4,2
"VC",2020-04-06,7443,1887,384,672,1103
"EX",2020-04-06,2116,686,70,258,282
"GA",2020-04-06,6331,1968,162,204,688
"MD",2020-04-06,40469,13950,1494,5371,18410
"ML",2020-04-06,92,40,3,2,11
"MC",2020-04-06,1283,500,84,78,193
"NC",2020-04-06,3355,1488,124,202,421
"PV",2020-04-06,9021,4856,417,586,3728
"RI",2020-04-06,2846,918,66,160,994
"AN",2020-04-07,8997,4463,520,605,1041
"AR",2020-04-07,3549,1716,255,349,659
"AS",2020-04-07,1705,958,91,102,294
"IB",2020-04-07,1412,731,129,89,616
"CN",2020-04-07,1762,703,138,91,249
"CB",2020-04-07,1572,700,69,92,175
"CM",2020-04-07,11788,2731,354,1255,1557
"CL",2020-04-07,10058,5322,342,1028,2988
"CT",2020-04-07,29647,20250,2442,3041,12250
"CE",2020-04-07,84,9,4,4,7
"VC",2020-04-07,7655,1714,371,724,1344
"EX",2020-04-07,2184,898,98,271,328
"GA",2020-04-07,6538,2014,158,213,800
"MD",2020-04-07,42450,13289,1450,5586,19836
"ML",2020-04-07,93,40,3,2,12
"MC",2020-04-07,1326,515,86,85,203
"NC",2020-04-07,3467,1526,124,206,450
"PV",2020-04-07,9452,4982,430,635,4151
"RI",2020-04-07,2951,955,68,177,1061
